park,hospital,supermarket,office,school,leisure,shopping
0,1,18,156,74,13,0
0,1,18,37,74,13,59
0,1,18,187,74,13,59
0,1,18,218,37,164,0
0,1,18,522,74,13,59
0,1,18,88,74,13,0
0,1,18,403,37,164,0
0,1,18,518,74,13,0
0,1,18,406,74,13,0
0,1,18,164,37,164,0
0,1,18,338,74,13,0
0,1,18,423,74,13,0
0,1,18,48,74,13,0
0,1,18,397,37,164,11
0,1,18,378,74,164,0
0,1,18,476,37,164,0
0,1,18,26,74,13,0
0,1,18,55,37,13,59
0,1,18,323,74,13,0
0,1,18,504,74,13,0
0,1,18,289,74,13,0
0,1,18,365,74,13,0
0,1,18,166,74,164,0
0,1,18,266,74,13,0
0,1,18,365,37,13,59
0,1,18,495,74,13,0
0,1,18,52,37,164,59
0,1,18,192,37,164,0
0,1,18,91,74,13,0
0,1,18,158,74,13,0
0,1,18,65,74,13,0
0,1,18,414,74,13,0
0,1,18,153,37,164,59
0,1,18,111,74,13,0
0,1,18,239,74,164,0
0,1,18,290,37,164,11
0,1,18,133,74,13,0
0,1,18,289,37,13,59
0,1,18,373,74,13,0
0,1,18,40,74,13,0
0,1,18,522,74,164,0
0,1,18,344,37,164,59
0,1,18,394,74,13,0
0,1,18,389,74,13,0
0,1,18,15,37,164,59
0,1,18,169,74,13,0
0,1,18,258,37,164,0
0,1,18,76,74,13,0
0,1,18,87,37,164,59
0,1,18,445,37,13,59
0,1,18,299,74,13,0
0,1,18,491,74,13,0
0,1,18,500,74,13,0
0,1,18,115,37,164,59
0,1,18,354,37,164,59
0,1,18,257,37,164,59
0,1,18,249,74,13,0
0,1,18,399,74,13,0
0,1,18,184,74,13,59
0,1,18,126,37,164,59
0,1,18,129,74,13,0
0,1,18,64,74,13,0
0,1,18,284,37,164,59
0,1,18,436,37,164,11
0,1,18,175,74,13,0
0,1,18,369,37,13,59
0,1,18,264,74,13,0
0,1,18,13,74,13,0
0,1,18,27,74,13,0
0,1,18,357,74,13,59
0,1,18,399,74,13,0
0,1,18,2,74,13,0
0,1,18,488,74,13,59
0,1,18,147,74,13,0
0,1,18,238,74,164,0
0,1,18,261,74,13,59
0,1,18,493,74,13,0
0,1,18,107,37,164,11
0,1,18,486,37,13,59
0,1,18,518,37,164,59
0,1,18,55,74,13,0
0,1,18,311,74,13,0
0,1,18,389,74,13,0
0,1,18,215,74,13,0
0,1,18,234,74,13,0
0,1,18,353,37,13,59
0,1,18,390,37,13,59
0,1,18,151,74,164,59
0,1,18,23,74,13,0
0,1,18,122,74,13,0
0,1,18,203,74,13,0
0,1,18,258,37,164,59
0,1,18,426,74,13,0
0,1,18,459,74,13,0
0,1,18,330,37,13,59
0,1,18,311,37,13,59
0,1,18,313,74,13,0
0,1,18,390,74,13,59
0,1,18,196,74,13,0
0,1,18,285,74,13,59
0,1,18,105,74,13,0
0,1,18,497,37,13,59
0,1,18,257,74,13,0
0,1,18,74,37,164,11
0,1,18,150,74,13,0
0,1,18,222,74,13,0
0,1,18,200,74,164,0
0,1,18,124,74,13,59
0,1,18,481,74,13,0
0,1,18,119,74,13,0
0,1,18,281,74,13,0
0,1,18,148,74,13,59
0,1,18,451,74,13,0
0,1,18,154,74,164,0
0,1,18,482,37,164,59
0,1,18,140,74,13,0
0,1,18,119,37,164,11
0,1,18,15,74,13,0
0,1,18,306,74,13,0
0,1,18,144,74,13,0
0,1,18,373,74,13,0
0,1,18,430,74,164,59
0,1,18,187,74,13,0
0,1,18,336,74,13,0
0,1,18,367,74,13,0
0,1,18,330,74,13,0
0,1,18,348,37,164,59
0,1,18,509,37,164,0
0,1,18,29,74,13,0
0,1,18,375,37,164,59
0,1,18,18,74,13,0
0,1,18,509,74,13,0
0,1,18,480,37,164,59
0,1,18,216,74,13,0
0,1,18,367,74,164,0
0,1,18,36,37,164,59
0,1,18,55,74,13,0
0,1,18,190,37,164,11
0,1,18,355,74,164,0
0,1,18,418,74,13,0
0,1,18,88,74,13,0
0,1,18,229,37,164,59
0,1,18,96,74,13,59
0,1,18,2,74,13,0
0,1,18,280,37,164,59
0,1,18,318,74,13,59
0,1,18,151,37,164,11
0,1,18,184,74,13,59
0,1,18,149,74,13,0
0,1,18,350,37,164,59
0,1,18,29,74,13,0
0,1,18,333,37,164,59
0,1,18,496,74,13,0
0,1,18,388,74,13,0
0,1,18,320,37,164,0
0,1,18,490,37,164,59
0,1,18,248,74,13,59
0,1,18,496,37,164,59
0,1,18,493,74,13,0
0,1,18,312,37,13,59
0,1,18,407,37,13,59
0,1,18,403,74,13,0
0,1,18,251,74,13,0
0,1,18,259,74,13,59
0,1,18,40,37,164,59
0,1,18,486,37,164,11
0,1,18,148,74,13,0
0,1,18,221,74,13,0
0,1,18,144,74,13,0
0,1,18,260,74,13,0
0,1,18,151,74,13,0
0,1,18,341,74,13,0
0,1,18,298,74,13,0
0,1,18,107,74,13,0
0,1,18,438,74,13,0
0,1,18,336,74,13,0
0,1,18,131,37,164,0
0,1,18,467,74,13,0
0,1,18,169,37,13,59
0,1,18,488,74,13,0
0,1,18,460,37,164,59
0,1,18,478,74,164,59
0,1,18,267,37,164,0
0,1,18,509,74,13,0
0,1,18,296,74,13,59
0,1,18,140,37,164,0
0,1,18,318,74,13,0
0,1,18,21,37,13,59
0,1,18,499,74,13,0
0,1,18,81,74,13,0
0,1,18,71,37,164,0
0,1,18,4,37,164,59
0,1,18,146,74,13,0
0,1,18,133,74,13,0
0,1,18,194,37,164,59
0,1,18,38,37,164,59
0,1,18,253,74,13,0
0,1,18,338,37,164,59
0,1,18,67,74,13,0
0,1,18,413,74,164,59
0,1,18,358,37,164,59
0,1,18,129,74,13,0
0,1,18,432,74,13,0
0,1,18,369,74,13,0
0,1,18,201,37,164,59
0,1,18,384,37,164,59
0,1,18,364,37,13,59
0,1,18,485,37,164,59
0,1,18,296,74,13,0
0,1,18,231,37,164,0
0,1,18,391,74,13,0
0,1,18,233,37,164,59
0,1,18,125,37,164,0
