park,hospital,supermarket,office,school,leisure,shopping
1,2,3,339,41,15,3
1,2,3,30,41,5,3
1,2,3,37,41,15,3
1,2,3,392,41,15,3
1,2,3,185,41,15,3
1,2,3,375,41,5,3
1,2,3,238,41,15,3
1,2,3,105,41,5,3
1,2,3,148,41,15,3
1,2,3,94,41,15,3
1,2,3,65,41,15,3
1,2,3,126,41,5,3
1,2,3,215,41,15,3
1,2,3,94,41,5,3
1,2,3,129,41,15,3
1,2,3,34,41,15,3
1,2,3,157,41,15,3
1,2,3,274,41,15,3
1,2,3,175,41,15,3
1,2,3,307,41,15,3
1,2,3,174,41,15,3
1,2,3,267,41,15,3
1,2,3,54,41,15,3
1,2,3,395,41,15,3
1,2,3,76,41,15,3
1,2,3,352,41,15,3
1,2,3,139,41,15,3
1,2,3,233,41,15,3
1,2,3,341,41,15,3
1,2,3,265,41,40,3
1,2,3,323,41,15,3
1,2,3,375,41,15,3
1,2,3,278,41,5,3
1,2,3,300,41,5,3
1,2,3,25,41,15,3
1,2,3,317,41,15,3
1,2,3,144,41,15,3
1,2,3,213,41,15,3
1,2,3,188,41,15,3
1,2,3,208,41,15,3
1,2,3,127,41,15,3
1,2,3,338,41,15,3
1,2,3,270,41,15,3
1,2,3,21,41,15,3
1,2,3,20,41,15,3
1,2,3,192,41,15,3
1,2,3,122,41,15,3
1,2,3,216,41,5,3
1,2,3,66,41,15,3
1,2,3,1,41,15,3
1,2,3,394,41,15,3
1,2,3,59,41,5,3
1,2,3,168,41,15,3
1,2,3,393,41,40,3
1,2,3,54,41,40,3
1,2,3,7,41,15,3
1,2,3,179,41,5,3
1,2,3,372,41,15,3
1,2,3,185,41,15,3
1,2,3,182,41,15,3
1,2,3,361,41,15,3
1,2,3,355,41,15,3
1,2,3,336,41,40,3
1,2,3,391,41,5,3
1,2,3,104,41,15,3
1,2,3,224,41,15,3
1,2,3,259,41,5,3
1,2,3,396,41,15,3
1,2,3,223,41,15,3
1,2,3,57,41,15,3
1,2,3,167,41,15,3
1,2,3,33,41,15,3
1,2,3,49,41,15,3
1,2,3,195,41,5,3
1,2,3,193,41,15,3
1,2,3,25,41,15,3
1,2,3,292,41,15,3
1,2,3,4,41,15,3
1,2,3,36,41,5,3
1,2,3,81,41,15,3
1,2,3,115,41,15,3
1,2,3,154,41,15,3
1,2,3,319,41,5,3
1,2,3,317,41,15,3
1,2,3,21,41,15,3
1,2,3,82,41,15,3
1,2,3,130,41,15,3
1,2,3,237,41,15,3
1,2,3,265,41,5,3
1,2,3,36,41,15,3
